wave_id,date,start_time,end_time,duration_sec,total_orders,orders_complete,orders_pending,pct_pending,total_reservations,total_units_reserved,total_missing_units,unique_items_reserved,unique_items_missing,unique_positions,unique_zones,total_volumes,total_pkl,missing_lines_count,avg_time_per_order,avg_interval_between_orders,avg_reservations_per_order,max_reservations_per_order,avg_units_per_order
25013,2026-07-14,06:03:40.028,06:08:30.407,290.379,142,88,54,38.0,733,145362,57756,195,45,214,1,3919,125,122,2.0449,2.0448,5.86,48,1162.9
25014,2026-07-15,20:13:41.177,20:26:12.918,751.741,447,435,12,2.7,1254,222126,6293,224,5,270,1,5143,443,13,1.6817,1.6821,2.83,18,501.4
25015,2026-07-16,01:36:11.769,01:41:17.725,305.956,186,175,11,5.9,477,103491,2438,196,8,213,1,2353,181,14,1.6449,1.646,2.64,23,571.8
25017,2026-07-16,13:34:12.322,13:43:27.600,555.278,343,177,166,48.4,991,139527,60771,190,59,206,1,3512,297,263,1.6189,1.6191,3.34,33,469.8
25018,2026-07-16,21:48:33.285,22:06:53.513,1100.228,652,416,236,36.2,1151,152074,73278,199,53,214,1,3490,563,308,1.6875,1.6877,2.04,17,270.1
